Name,Group,Code,Grade,Length,Compilsory,profession,Continue_semester,Lecture,Experiment,Computer_room,Teacher_code
解析学Ⅰ,解析学1,10314,1,2,1,0,1,1,0,0,0001
解析学Ⅰ,解析学1,10324,1,2,1,0,1,1,0,0,0001
解析学Ⅱ,解析学2,10414,1,2,1,0,1,1,0,0,0001
解析学Ⅱ,解析学2,10424,1,2,1,0,1,1,0,0,0001
解析学Ⅲ,解析学3,10514,1,2,1,0,1,1,0,0,0001
解析学Ⅲ,解析学3,10524,1,2,1,0,1,1,0,0,0001
線形代数Ⅰ,線形代数1,10114,1,2,1,0,1,1,0,0,0001
線形代数Ⅰ,線形代数1,10124,1,2,1,0,1,1,0,0,0001
線形代数Ⅱ,線形代数2,10214,1,2,1,0,1,1,0,0,0001
線形代数Ⅱ,線形代数2,10224,1,2,1,0,1,1,0,0,0001
コンピュータリテラシ,コンピュータ1,10611,1,1,1,0,1,1,0,0,0002
コンピュータリテラシ実習,コンピュータ1,10621,1,2,1,0,1,0,1,1,0002
コンピュータリテラシ実習,コンピュータ1,10622,1,2,1,0,1,0,1,1,0002
プログラミング入門Ⅰ,コンピュータ2,10714,1,2,1,0,1,1,0,0,0002
プログラミング入門Ⅰ,コンピュータ2,10724,1,2,1,0,1,0,1,1,0002
プログラミング入門Ⅱ,コンピュータ3,10734,1,2,1,0,1,1,0,0,0002
プログラミング入門Ⅱ,コンピュータ3,10744,1,2,1,0,1,0,1,1,0002
ソフトウェアサイエンス概論Ⅰ,ソフトウェアサイエンス概論1,11201,1,1,1,0,1,1,0,0,0003
情報システム概論Ⅰ,情報システム概論1,11101,1,1,1,0,1,1,0,0,0003
知能情報メディア概論Ⅰ,知能情報メディア概論1,11001,1,1,1,0,1,1,0,0,0003
論理回路,コンピュータ3,10804,1,2,1,0,1,1,0,0,0003
論理回路,コンピュータ3,10904,1,2,1,0,1,1,0,0,0003
離散構造,解析学3,10914,1,2,1,0,1,1,0,0,0003
離散構造,解析学3,10924,1,2,1,0,1,1,0,0,0003
力学,物理1,11214,1,2,0,0,1,1,0,0,0010
力学,物理1,11304,1,2,0,0,1,1,0,0,0010
データ構造とアルゴリズム,データ構造とアルゴリズム1,11911,2,2,1,0,1,1,0,0,0004
データ構造とアルゴリズム,データ構造とアルゴリズム1,11921,2,2,1,0,1,1,0,0,0004
データ構造とアルゴリズム実験,データ構造とアルゴリズム1,11916,2,2,1,0,1,0,1,1,0004
データ構造とアルゴリズム実験,データ構造とアルゴリズム1,11921,2,2,1,0,1,0,1,1,0004
電気回路,電気回路1,12201,2,2,0,0,1,1,0,0,0005
電気回路,電気回路1,12202,2,2,0,0,1,1,0,0,0005
確率論,確率論1,11601,2,2,0,0,1,1,0,0,0006
確率論,確率論1,11602,2,2,0,0,1,1,0,0,0006
MathForCS,MathForCS1,13604,2,2,0,0,2,1,0,0,0007
MathForCS,MathForCS1,13704,2,2,0,0,2,1,0,0,0007
ソフトウェアサイエンス概論Ⅱ,ソフトウェアサイエンス概論2,11211,2,1,1,0,1,1,0,0,0008
論理システム,コンピュータ3,12801,2,1,0,0,1,1,0,0,0008
論理と形式化,論理と形式化1,12601,2,2,0,0,1,1,0,0,0009
論理と形式化,論理と形式化1,12602,2,2,0,0,1,1,0,0,0009
知能情報メディア概論Ⅱ,知能情報メディア概論2,11011,2,1,1,0,1,1,0,0,0003
情報システム概論Ⅱ,情報システム概論2,11111,2,1,1,0,1,1,0,0,0003
数値計算法,解析学3,12301,2,2,0,0,1,1,0,0,0012
数値計算法,解析学3,12302,2,2,0,0,1,1,0,0,0012
ソフトウェア技法,データ構造とアルゴリズム2,12901,2,2,0,0,1,1,0,0,0013
ソフトウェア技法,データ構造とアルゴリズム2,12902,2,2,0,0,1,1,0,0,0013
技術英語Ⅰ,技術英語1,13212,2,2,0,0,1,1,0,0,0014
技術英語Ⅰ,技術英語1,13222,2,2,0,0,1,1,0,0,0014
複素関数論,複素関数論1,11701,2,2,0,0,1,1,0,0,0015
複素関数論,複素関数論1,11701,2,2,0,0,1,1,0,0,0015
電磁気学,物理2,11404,2,2,1,0,1,1,0,0,0016
電磁気学,物理2,11405,2,2,1,0,1,1,0,0,0016
機械語序論,データ構造とアルゴリズム3,12701,2,2,0,0,1,1,0,0,0018
機械語序論,データ構造とアルゴリズム3,12702,2,2,0,0,1,1,0,0,0018
コンピュータグラフィックス基礎,データ構造とアルゴリズム3,13704,2,2,0,0,1,1,0,0,0019
コンピュータグラフィックス基礎,データ構造とアルゴリズム3,13705,2,2,0,0,1,1,0,0,0019
システム制御概論,システム制御概論1,12401,2,2,0,0,1,1,0,0,0020
システム制御概論,システム制御概論1,12402,2,2,0,0,1,1,0,0,0020
情報数学,情報数学1,11807,2,2,0,0,1,1,0,0,0021
情報数学,情報数学1,11807,2,2,0,0,1,1,0,0,0021
ソフトウェア構成論,データ構造とアルゴリズム3,13001,2,2,0,0,1,1,0,0,0022
ソフトウェア構成論,データ構造とアルゴリズム3,13002,2,2,0,0,1,1,0,0,0022
シミュレーション物理,物理3,11514,2,1,1,0,1,1,1,1,0023
情報理論,確率論2,12501,2,2,0,0,1,1,0,0,0024
情報理論,確率論2,12502,2,2,0,0,1,1,0,0,0024
プログラム言語論,プログラム言語1,20101,3,2,0,1,1,1,0,0,0025
プログラム言語論,プログラム言語1,20102,3,2,0,1,1,1,0,0,0025
インタラクティブCG,CG1,22401,3,2,0,1,1,1,0,0,0026
インタラクティブCG,CG1,22402,3,2,0,1,1,1,0,0,0026
音声聴覚情報処理,音声処理1,41501,3,2,0,3,1,1,0,0,0027
音声聴覚情報処理,音声処理1,41502,3,2,0,3,1,1,0,0,0027
パターン認識,パターン認識1,40201,3,2,0,3,1,1,0,0,0028
パターン認識,パターン認識1,40202,3,2,0,3,1,1,0,0,0028
システム評価技法,コンピュータアーキテクチャ2,32001,3,2,0,2,1,1,0,0,0029
システム評価技法,コンピュータアーキテクチャ2,32002,3,2,0,2,1,1,0,0,0029
信号解析,信号処理3,41301,3,2,0,3,1,1,0,0,0030
信号解析,信号処理3,41302,3,2,0,3,1,1,0,0,0030
システム数理,システム数理1,22001,3,2,0,1,1,1,0,0,0031
システム数理,システム数理1,22002,3,2,0,1,1,1,0,0,0031
エージェントシステム,エージェントシステム1,21301,3,1,0,1,1,1,0,0,0032
計算機アーキテクチャ,コンピュータアーキテクチャ1,30201,3,2,0,2,1,1,0,0,0033
計算機アーキテクチャ,コンピュータアーキテクチャ1,30202,3,2,0,2,1,1,0,0,0033
並列処理アーキテクチャ,並列処理1,31101,3,2,0,2,1,1,0,0,0034
